"Nest ID_marking","Adult1","Adult2","Adult3","Chick1","Chick2","Chick3","Status","Est_LayDate","Est_HatchDate","HatchDate","Est_TranspondDate5","Est_TranspondDate6","Est_FledgeDate","Eggs","Chicks","diffchicks","Notes","__id"
"B45",NA,NA,NA,"956000015838156",NA,NA,"Chicks","2022-09-27","2022-11-01","2022-11-14","2022-12-19","2022-12-26","2023-01-09","0","2",NA,NA,NA
"G37",NA,NA,NA,"956000015702481",NA,NA,"Chicks","2022-10-11","2022-11-15","2022-11-14","2022-12-19","2022-12-26","2023-01-09",NA,"1",NA,NA,NA
"A10",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-11","2022-11-15","2022-11-14","2022-12-19","2022-12-26","2023-01-09","0","2",NA,NA,NA
"B11",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-11","2022-11-15","2022-11-14","2022-12-19","2022-12-26","2023-01-09",NA,"1",NA,NA,NA
"B17",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-11","2022-11-15","2022-11-14","2022-12-19","2022-12-26","2023-01-09","1","1",NA,NA,NA
"B28",NA,NA,NA,NA,NA,NA,"Fledged","2022-09-29","2022-11-03","2022-11-14","2022-12-19","2022-12-26","2023-01-09","1","1",NA,NA,NA
"B37",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-11","2022-11-15","2022-11-14","2022-12-19","2022-12-26","2023-01-09","0","2",NA,NA,NA
"B52",NA,NA,NA,NA,NA,NA,"Fledged","2022-10-11","2022-11-15","2022-11-14","2022-12-19","2022-12-26","2023-01-09","0","1",NA,NA,NA
"B53",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-11","2022-11-15","2022-11-14","2022-12-19","2022-12-26","2023-01-09","0","2",NA,NA,NA
"B9",NA,NA,NA,NA,NA,NA,"Fledged","2022-10-11","2022-11-15","2022-11-14","2022-12-19","2022-12-26","2023-01-09","0","2",NA,NA,NA
